,query,label
0,Book me a 5 star hotel on 19 jan near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
1,Book me a one star hotel on 19 jan near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
2,Book me a two star hotel on 19 jan near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
3,Book me a three star hotel on 19 jan near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
4,Book me a four star hotel on 19 jan near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
5,Book me a five star hotel on 19 jan near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
6,Book me a 1 star hotel on 19 jan near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
7,Book me a 2 star on 19 jan near kolkata,O O O B-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
8,Book me a 3 star hotel on 19 jan near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
9,Book me a 4 star on 19 jan near kolkata,O O O B-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
10,Book me a 5 star hotel on 1 Jan near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
11,Book me a 5 star hotel on 2 Jan near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
12,Book me a 5 star hotel on 3 Apr near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
13,Book me a 5 star hotel on 4 April near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
14,Book me a 5 star hotel on 5 april near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
15,Book me a 5 star hotel on 6 Jan near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
16,Book me a 5 star hotel on 7 Feb near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
17,Book me a 5 star hotel on 8 Jan near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
18,Book me a 5 star hotel on 12 Jan near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
19,Book me a 5 star hotel on 24 Jan near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
20,Book me a 5 star hotel on 26 Feb near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
21,Book me a 5 star hotel on 28 Jan near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
22,Book me a 5 star hotel on 17 Jan near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
23,Book me a 5 star hotel on 19 Mar near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
24,Book me a 5 star hotel on 3 Mar near kolkata,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
25,Book me a 5 star hotel on 19 jan near arunachal pradesh,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location I-Location
26,Book me a 5 star hotel on 19 jan near andra pradesh,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location I-Location
27,Book me a 5 star hotel on 19 jan near Afghanistan,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
28,Book me a 5 star hotel on 19 jan near Akrotiri,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
29,Book me a 5 star hotel on 19 jan near Albania,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
30,Book me a 5 star hotel on 19 jan near Algeria,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
31,Book me a 5 star hotel on 19 jan near American,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
32,Book me a 5 star hotel on 19 jan near Samoa,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
33,Book me a 5 star hotel on 19 jan near Andorra,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
34,Book me a 5 star hotel on 19 jan near Angola,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
35,Book me a 5 star hotel on 19 jan near Anguilla,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
36,Book me a 5 star hotel on 19 jan near Antarctica,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
37,Book me a 5 star hotel on 19 jan near Antigua and Barbuda,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location I-Location I-Location
38,Book me a 5 star hotel on 19 jan near Argentina,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
39,Book me a 5 star hotel on 19 jan near Armenia,O O O B-Star_Rate I-Star_Rate I-Star_Rate O B-checkin I-checkin O B-Location
40,Book me a hotel today in kolkata,O O O O B-CheckinDay O B-Location
41,Book me a hotel tomorrow in kolkata,O O O O B-CheckinDay O B-Location
42,Book me a hotel next day in kolkata,O O O O B-CheckinDay I-CheckinDay O B-Location
43,Book me a hotel last day in kolkata,O O O O B-CheckinDay I-CheckinDay O B-Location
44,Book me a hotel next week in kolkata,O O O O B-CheckinDay I-CheckinDay O B-Location
45,Book me a hotel tonight in kolkata,O O O O B-CheckinDay O B-Location
46,Book me a hotel yesterday in kolkata,O O O O B-CheckinDay O B-Location
47,Book me a hotel next to next week in kolkata,O O O O B-CheckinDay I-CheckinDay I-CheckinDay I-CheckinDay O B-Location
48,Book me a hotel monday in kolkata,O O O O B-CheckinDay O B-Location
49,Book me a hotel tuesday in kolkata,O O O O B-CheckinDay O B-Location
50,Book me a hotel wednesday in kolkata,O O O O B-CheckinDay O B-Location
51,Book me a hotel thursday in kolkata,O O O O B-CheckinDay O B-Location
52,Book me a hotel friday in kolkata,O O O O B-CheckinDay O B-Location
53,Book me a hotel saturday in kolkata,O O O O B-CheckinDay O B-Location
54,Book me a hotel sunday in kolkata,O O O O B-CheckinDay O B-Location
55,Book me a hotel today in arunachal pradesh,O O O O B-CheckinDay O B-Location I-Location
56,Book me a hotel today in andra pradesh,O O O O B-CheckinDay O B-Location I-Location
57,Book me a hotel today in Afghanistan,O O O O B-CheckinDay O B-Location
58,Book me a hotel today in Akrotiri,O O O O B-CheckinDay O B-Location
59,Book me a hotel today in Albania,O O O O B-CheckinDay O B-Location
60,Book me a hotel today in Algeria,O O O O B-CheckinDay O B-Location
61,Book me a hotel today in American,O O O O B-CheckinDay O B-Location
62,Book me a hotel today in Samoa,O O O O B-CheckinDay O B-Location
63,Book me a hotel today in Andorra,O O O O B-CheckinDay O B-Location
64,Book me a hotel today in Angola,O O O O B-CheckinDay O B-Location
65,Book me a hotel today in Anguilla,O O O O B-CheckinDay O B-Location
66,Book me a hotel today in Antarctica,O O O O B-CheckinDay O B-Location
67,Book me a hotel today in Antigua and Barbuda,O O O O B-CheckinDay O B-Location I-Location I-Location
68,Book me a hotel today in Argentina,O O O O B-CheckinDay O B-Location
69,Book me a hotel today in Armenia,O O O O B-CheckinDay O B-Location
70,Book me a hotel in kolkata,O O O O O B-Location
71,Book me a hotel in arunachal pradesh,O O O O O B-Location I-Location
